player_name,plus_minus,eFG_avg,winning_perct,total_games,pts
Steven Adams,0.4848484848484849,61.49732620320856,42.42424242424242,33,8.228571428571428
Bam Adebayo,-0.24242424242424246,56.563245823389025,51.51515151515152,33,19.21212121212121
LaMarcus Aldridge,-2.761904761904762,51.814516129032256,57.14285714285714,21,13.714285714285715
Kyle Alexander,,,0.0,0,0.0
Nickeil Alexander-Walker,-1.4285714285714286,47.86729857819906,42.857142857142854,28,8.5
Grayson Allen,1.0,54.878048780487816,47.82608695652174,23,9.304347826086957
Jarrett Allen,-0.2571428571428571,67.70428015564202,40.0,35,13.222222222222221
Kadeem Allen,,,0.0,0,0.0
Al-Farouq Aminu,-6.4444444444444455,46.51162790697675,33.33333333333333,9,4.636363636363637
Justin Anderson,,,0.0,0,0.0
Kyle Anderson,1.0967741935483872,55.04731861198737,51.612903225806456,31,13.030303030303033
Ryan Anderson,,,0.0,0,0.0
Giannis Antetokounmpo,7.2857142857142865,58.6232980332829,60.0,35,28.97297297297297
Kostas Antetokounmpo,-1.0,33.33333333333333,66.66666666666666,3,1.0
Thanasis Antetokounmpo,-1.8846153846153848,62.790697674418624,69.23076923076923,26,2.2857142857142856
Carmelo Anthony,-2.9117647058823533,48.75621890547264,58.82352941176471,34,14.138888888888891
OG Anunoby,2.782608695652174,58.193277310924366,47.82608695652174,23,13.782608695652176
Ryan Arcidiacono,2.1111111111111107,53.0,55.555555555555564,18,3.2105263157894735
Trevor Ariza,,,0.0,0,0.0
D.J. Augustin,2.676470588235294,47.26775956284152,61.764705882352935,34,6.166666666666668
Deandre Ayton,2.9428571428571435,59.94550408719346,68.57142857142857,35,14.351351351351349
Dwayne Bacon,-5.8055555555555545,46.50455927051672,36.111111111111114,36,10.5
Marvin Bagley III,-3.5,54.358974358974365,41.17647058823529,34,13.916666666666664
Lonzo Ball,1.303030303030303,54.88997555012225,42.42424242424242,33,14.085714285714285
Mo Bamba,-0.4117647058823529,57.462686567164184,29.411764705882355,17,4.894736842105263
J.J. Barea,,,0.0,0,0.0
Harrison Barnes,-2.363636363636364,56.68449197860963,42.42424242424242,33,16.65714285714286
RJ Barrett,1.135135135135135,48.38403041825095,51.35135135135135,37,17.076923076923073
Will Barton,2.8484848484848486,51.641791044776106,60.60606060606061,33,12.2
Keita Bates-Diop,-2.7142857142857144,43.548387096774185,42.857142857142854,14,2.2666666666666666
Nicolas Batum,5.342857142857143,62.008733624454145,62.85714285714285,35,8.944444444444445
Aron Baynes,-1.4848484848484849,48.24999999999999,48.48484848484848,33,6.342857142857143
Kent Bazemore,3.0285714285714285,59.14285714285714,48.57142857142857,35,6.4324324324324325
Darius Bazley,-5.722222222222222,45.90570719602978,41.66666666666667,36,11.861111111111109
Bradley Beal,-3.333333333333333,52.35368956743003,42.42424242424242,33,32.14705882352941
Malik Beasley,-4.333333333333333,55.99999999999999,21.21212121212121,33,20.51515151515152
Marco Belinelli,,,0.0,0,0.0
Jordan Bell,-12.333333333333336,33.333333333333336,0.0,3,3.333333333333333
DeAndre' Bembry,0.1851851851851852,61.62790697674418,55.555555555555564,27,4.827586206896552
Dragan Bender,,,0.0,0,0.0
Davis Bertans,-0.5161290322580645,56.15671641791046,41.935483870967744,31,11.3125
Patrick Beverley,5.678571428571429,58.47457627118646,64.28571428571429,28,8.310344827586206
Khem Birch,-2.628571428571429,50.98039215686275,37.142857142857146,35,5.648648648648647
Goga Bitadze,0.25,53.19148936170214,31.25,16,3.611111111111111
Bismack Biyombo,-2.787878787878788,56.93430656934307,45.45454545454545,33,5.428571428571429
Nemanja Bjelica,-1.8421052631578947,54.58333333333334,31.578947368421048,19,8.04761904761905
Eric Bledsoe,-1.9142857142857144,53.03030303030303,42.857142857142854,35,11.945945945945946
Bogdan Bogdanovic,-1.2727272727272727,51.09890109890108,54.54545454545454,11,8.384615384615385
Bojan Bogdanovic,5.666666666666668,54.48275862068965,75.0,36,15.526315789473687
Bol Bol,-2.7333333333333334,61.36363636363637,66.66666666666666,15,1.9375
Jonah Bolden,,,0.0,0,0.0
Jordan Bone,-4.214285714285714,51.851851851851855,14.285714285714285,14,4.0
Isaac Bonga,-0.8181818181818182,48.88888888888889,27.27272727272727,22,2.083333333333333
Devin Booker,4.774193548387096,55.061082024432814,70.96774193548387,31,25.060606060606066
Chris Boucher,2.861111111111111,62.888198757763966,47.22222222222222,36,14.078947368421053
Brian Bowen II,-7.0,50.0,0.0,1,3.0
Ky Bowman,,,0.0,0,0.0
Avery Bradley,-1.4,59.09090909090909,40.0,10,8.5
Tony Bradley,-0.08333333333333333,56.4102564102564,41.66666666666667,12,4.785714285714286
Jarrell Brantley,-1.4,55.00000000000001,90.0,10,1.1
Ignas Brazdeikis,-1.5,0.0,50.0,4,0.5
Mikal Bridges,3.8571428571428568,62.5,68.57142857142857,35,13.810810810810812
Miles Bridges,0.3142857142857143,57.62081784386618,48.57142857142857,35,9.702702702702704
Oshae Brissett,,,0.0,0,0.0
Ryan Broekhoff,,,0.0,0,0.0
Malcolm Brogdon,-0.4705882352941176,51.37763371150729,47.058823529411754,34,21.527777777777782
Dillon Brooks,1.4,46.008869179600886,53.33333333333334,30,15.9375
Bruce Brown,0.8181818181818182,61.24999999999999,69.6969696969697,33,8.285714285714286
Jaylen Brown,1.0,55.68181818181818,51.51515151515152,33,24.35294117647059
Moses Brown,-1.5714285714285714,70.0,14.285714285714285,7,5.1
Sterling Brown,-1.9375,56.88775510204081,34.375,32,7.647058823529411
Charles Brown Jr.,,,0.0,0,0.0
Troy Brown Jr.,-2.1666666666666665,43.91891891891893,27.777777777777782,18,4.1
Jalen Brunson,-0.0967741935483871,60.90225563909776,54.838709677419345,31,12.93939393939394
Thomas Bryant,-1.5,69.78021978021978,20.0,10,14.3
