player_name,plus_minus,eFG_avg,winning_perct,total_games,pts,Score,year_count,plus_minus_x,eFG_avg_x,winning_perct_x,total_games_x,pts_x,Score_x,year_count_x,plus_minus_y,eFG_avg_y,winning_perct_y,total_games_y,pts_y,Score_y,year_count_y,total_year_count,total_score,avg_score,Rank
Giannis Antetokounmpo,9.097222222222221,59.903769045709716,77.7777777777778,72,27.69444444,41.35580336987188,1,7.2857142857142865,58.6232980332829,60.0,35,28.97297297297297,38.61103686353307,1,10.825396825396826,58.92568659127625,80.95238095238095,63,29.47619047619048,42.321104187501604,1,3,41.530825681826414,13.843608560608805,1
James Harden,4.743589743589744,54.059717129387124,65.38461538461539,78,36.12820513,43.54698056547498,1,2.7096774193548385,58.123791102514495,61.29032258064516,31,25.15151515151515,34.913792350408684,1,4.205882352941177,54.26023778071335,63.235294117647065,68,34.338235294117645,41.78123591576657,1,3,40.49603443518042,13.49867814506014,2
Damian Lillard,6.175,52.152641878669264,63.74999999999999,80,25.8375,37.27191046966731,1,2.088235294117647,54.80225988700565,58.82352941176471,34,29.722222222222214,36.69713359920239,1,1.2575757575757576,56.263899184581184,50.0,66,29.96969696969697,38.16218691735742,1,3,37.824662431341906,12.608220810447301,3
Kawhi Leonard,5.95,54.56155890168291,68.33333333333333,60,26.6,37.504556392087395,1,7.9,56.40569395017793,66.66666666666666,30,26.677419354838708,36.91620843378104,1,8.385964912280702,52.38305383936452,71.9298245614035,57,27.070175438596486,37.88085117913937,1,3,37.669107890715104,12.556369296905034,4
LeBron James,2.109090909090909,56.02739726027397,50.90909090909091,55,27.36363636,36.24775840379577,1,6.6111111111111125,57.20524017467249,66.66666666666666,36,25.621621621621625,36.46039412775221,1,6.5970149253731325,55.02686108979279,74.6268656716418,67,25.34328358208955,37.6932824366273,1,3,37.37442857321071,12.458142857736902,5
Luka Doncic,-1.5972222222222223,49.74704890387857,38.888888888888886,72,21.19444444,30.298567778858533,1,1.3636363636363635,53.99709302325582,54.54545454545454,33,28.20588235294117,35.14098448576047,1,4.114754098360656,53.10756972111553,59.016393442622956,61,28.83606557377049,37.60803997126249,1,3,36.74915526454189,12.249718421513963,6
Anthony Davis,2.357142857142857,53.99610136452241,44.64285714285715,56,25.92857143,34.67759677055918,1,5.869565217391305,55.48302872062664,73.91304347826086,23,22.52173913043478,33.69684413667839,1,3.870967741935484,53.55839416058394,74.19354838709677,62,26.096774193548388,36.825082411113726,1,3,36.09206047419893,12.030686824732976,7
Devin Booker,-5.1875,52.07171314741036,23.4375,64,26.5625,32.03042828685259,1,4.774193548387096,55.06108202443282,70.96774193548387,31,25.060606060606066,35.09356962634281,1,1.8571428571428568,54.364770070148104,48.57142857142857,70,26.614285714285717,35.9526210889656,1,3,35.58470115633539,11.861567052111797,8
Bradley Beal,-1.4268292682926829,53.977625854568046,39.02439024390244,82,25.59756098,34.54745524676396,1,-3.333333333333333,52.35368956743003,42.42424242424242,33,32.14705882352941,35.31453647385394,1,-3.526315789473684,52.033768227168075,35.08771929824561,57,30.543859649122812,35.05756486380956,1,3,35.08345370496616,11.694484568322054,9
Jayson Tatum,4.493670886075949,50.57915057915058,60.75949367088608,79,15.73417722,30.196686381850938,1,2.7419354838709675,50.07836990595611,54.838709677419345,31,25.125,32.572011831327735,1,7.5606060606060606,52.732463295269184,69.6969696969697,66,23.43939393939393,35.921752187453656,1,3,34.96555082594834,11.655183608649446,10
Khris Middleton,7.2727272727272725,51.87282229965157,72.72727272727273,77,18.27272727,33.23638739145835,1,4.472222222222221,57.10382513661202,61.111111111111114,36,20.289473684210527,32.42325160579043,1,8.080645161290322,57.49736008447729,74.19354838709677,62,20.91935483870968,35.75579163402255,1,3,34.963313416247914,11.654437805415972,11
Nikola Jokic,3.95,54.51907131011608,66.25,80,20.05,33.95976782752902,1,5.916666666666668,60.928143712574865,58.33333333333334,36,27.13157894736842,37.7068166298981,1,3.493150684931507,56.48926237161531,63.01369863013698,73,19.94520547945205,33.76341148331478,1,3,34.56191032984216,11.520636776614054,12
Joel Embiid,5.8125,51.66805671392828,67.1875,64,27.515625,37.43888917848207,1,7.9,55.48446069469836,76.66666666666667,30,29.935483870967737,39.14073882958857,1,3.1372549019607843,51.24843945068665,62.74509803921568,51,22.980392156862745,33.07191378424029,1,3,34.504027563022035,11.501342521007345,13
