FULL NAME,TEAM
Precious Achiuwa,Mia
Jaylen Adams,Mil
Steven Adams,Nor
Bam Adebayo,Mia
LaMarcus Aldridge,San
Ty-Shon Alexander,Pho
Nickeil Alexander-Walker,Nor
Grayson Allen,Mem
Jarrett Allen,Bro
Jarrett Allen,Cle
Al-Farouq Aminu,Orl
Kyle Anderson,Mem
Giannis Antetokounmpo,Mil
Kostas Antetokounmpo,Lal
Thanasis Antetokounmpo,Mil
Carmelo Anthony,Por
Cole Anthony,Orl
OG Anunoby,Tor
Ryan Arcidiacono,Chi
D.J. Augustin,Mil
Deni Avdija,Was
Deandre Ayton,Pho
Udoka Azubuike,Uta
Dwayne Bacon,Orl
Marvin Bagley III,Sac
LaMelo Ball,Cha
Lonzo Ball,Nor
Mo Bamba,Orl
Desmond Bane,Mem
Harrison Barnes,Sac
RJ Barrett,Nyk
Will Barton,Den
Keita Bates-Diop,San
Nicolas Batum,Lac
Aron Baynes,Tor
Kent Bazemore,Gol
Darius Bazley,Okc
Bradley Beal,Was
Malik Beasley,Min
Jordan Bell,Was
DeAndre' Bembry,Tor
Davis Bertans,Was
Patrick Beverley,Lac
Saddiq Bey,Det
Tyler Bey,Dal
Khem Birch,Orl
Goga Bitadze,Ind
Bismack Biyombo,Cha
Nemanja Bjelica,Sac
Eric Bledsoe,Nor
Keljin Blevins,Por
Bojan Bogdanovic,Uta
Bogdan Bogdanovic,Atl
Bol Bol,Den
Marques Bolden,Cle
Jordan Bone,Orl
Isaac Bonga,Was
Devin Booker,Pho
Chris Boucher,Tor
Brian Bowen II,Ind
Avery Bradley,Mia
Tony Bradley,Phi
Jarrell Brantley,Uta
Ignas Brazdeikis,Nyk
Miles Bridges,Cha
Mikal Bridges,Pho
Malcolm Brogdon,Ind
Dillon Brooks,Mem
Troy Brown Jr.,Was
Bruce Brown,Bro
Jaylen Brown,Bos
Moses Brown,Okc
Sterling Brown,Hou
Jalen Brunson,Dal
Thomas Bryant,Was
Reggie Bullock,Nyk
Trey Burke,Dal
Alec Burks,Nyk
Jimmy Butler,Mia
Bruno Caboclo,Hou
Devontae Cacok,Lal
Kentavious Caldwell-Pope,Lal
Facundo Campazzo,Den
Vlatko Cancar,Den
Clint Capela,Atl
Vernon Carey Jr.,Cha
Wendell Carter Jr.,Chi
Jevon Carter,Pho
Michael Carter-Williams,Orl
Alex Caruso,Lal
Willie Cauley-Stein,Dal
Chris Chiozza,Bro
Marquese Chriss,Gol
Brandon Clarke,Mem
Gary Clark,Orl
Jordan Clarkson,Uta
Nicolas Claxton,Bro
Amir Coffey,Lac
John Collins,Atl
Mike Conley,Uta
Pat Connaughton,Mil
Quinn Cook,Lal
Tyler Cook,Bro
DeMarcus Cousins,Hou
Robert Covington,Por
Torrey Craig,Mil
Jae Crowder,Pho
Jarrett Culver,Min
Seth Curry,Phi
Stephen Curry,Gol
Anthony Davis,Lal
Ed Davis,Min
Terence Davis,Tor
DeMar DeRozan,San
Hamidou Diallo,Okc
Gorgui Dieng,Mem
Spencer Dinwiddie,Bro
Donte DiVincenzo,Mil
Luka Doncic,Dal
Luguentz Dort,Okc
Damyean Dotson,Cle
Devon Dotson,Chi
Sekou Doumbouya,Det
PJ Dozier,Den
Goran Dragic,Mia
Andre Drummond,Cle
Jared Dudley,Lal
Kevin Durant,Bro
Anthony Edwards,Min
Carsen Edwards,Bos
CJ Elleby,Por
Wayne Ellington,Det
Joel Embiid,Phi
James Ennis III,Orl
Drew Eubanks,San
Dante Exum,Cle
Tacko Fall,Bos
Derrick Favors,Uta
Cristiano Felicio,Chi
Terrance Ferguson,Phi
Bruno Fernando,Atl
Yogi Ferrell,Cle
Dorian Finney-Smith,Dal
Malachi Flynn,Tor
Bryn Forbes,Mil
Trent Forrest,Uta
Evan Fournier,Orl
De'Aaron Fox,Sac
Tim Frazier,Mem
Markelle Fultz,Orl
Wenyen Gabriel,Nor
Daniel Gafford,Chi
Danilo Gallinari,Atl
Langston Galloway,Pho
Darius Garland,Cle
Marc Gasol,Lal
Rudy Gay,San
Paul George,Lac
Taj Gibson,Nyk
Harry Giles III,Por
Shai Gilgeous-Alexander,Okc
Anthony Gill,Was
Rudy Gobert,Uta
Brandon Goodwin,Atl
Aaron Gordon,Orl
Eric Gordon,Hou
Devonte' Graham,Cha
Jerami Grant,Det
Danny Green,Phi
Draymond Green,Gol
JaMychal Green,Den
Javonte Green,Bos
Jeff Green,Bro
